CreatureId,Arksplorer,Arkpedia,ArkpediaUrl,Dodex,DodexUrl,Maps,Habitat
Achatina_Character_BP_C,Achatina,Achatina,Achatina,Achatina,achatina,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Crystal Isles, Mobile","Subterranean, Terrestrial"
Allo_Character_BP_C,Allosaurus,Allosaurus,Allosaurus,Allosaurus,allosaurus,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Ammonite_Character_C,Ammonite,Ammonite,Ammonite,Ammonite,ammonite,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aquatic
Angler_Character_BP_C,Anglerfish,Anglerfish,Anglerfish,Angler,angler,"The Island, The Center, Ragnarok, Aberration, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Aquatic, Subterranean"
Ankylo_Character_BP_C,Ankylosaurus,Ankylosaurus,Ankylosaurus,Ankylosaurus,ankylosaurus,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
SpiderS_Character_BP_C,Araneo,Araneo,Araneo,Araneo,araneo,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Archa_Character_BP_C,Archaeopteryx,Archaeopteryx,Archaeopteryx,Archaeopteryx,archaeopteryx,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Arboreal
Argent_Character_BP_C,Argentavis,Argentavis,Argentavis,Argentavis,argentavis,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aerial
Arthro_Character_BP_C,Arthropluera,Arthropluera,Arthropluera,Arthropluera,arthropluera,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Baryonyx_Character_BP_C,Baryonyx,Baryonyx,Baryonyx,Baryonyx,baryonyx,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Basilosaurus_Character_BP_C,Basilosaurus,Basilosaurus,Basilosaurus,Basilosaurus,basilosaurus,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aquatic
Toad_Character_BP_C,Beelzebufo,Beelzebufo,Beelzebufo,Beelzebufo,beelzebufo,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Sauropod_Character_BP_C,Brontosaurus,Brontosaurus,Brontosaurus,Brontosaurus,brontosaurus,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Genesis: Part 2, Mobile",Terrestrial
Turtle_Character_BP_C,Carbonemys,Carbonemys,Carbonemys,Carbonemys,carbonemys,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Aquatic, Terrestrial, Subterranean"
Carno_Character_BP_C,Carnotaurus,Carnotaurus,Carnotaurus,Carnotaurus,carnotaurus,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Beaver_Character_BP_C,Castoroides,Castoroides,Castoroides,Castoroides,castoroides,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Chalico_Character_BP_C,Chalicotherium,Chalicotherium,Chalicotherium,Chalicotherium,chalicotherium,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
ChalkGolem_Character_BP_C,Chalk Golem,Chalk Golem,Chalk_Golem,,,Valguero,Terrestrial
Cnidaria_Character_BP_C,Cnidaria,Cnidaria,Cnidaria,Cnidaria,cnidaria,"The Island, The Center, Ragnarok, Aberration, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Aquatic, Subterranean"
Coel_Character_BP_Ocean_C,Coelacanth (Ocean),Coelacanth,Coelacanth,Coelacanth,coelacanth,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Aquatic, Subterranean"
Coel_Character_BP_C,Coelacanth,Coelacanth,Coelacanth,Coelacanth,coelacanth,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Aquatic, Subterranean"
Compy_Character_BP_C,Compy,Compy,Compy,Compy,compy,"The Island, The Center, Ragnarok, Extinction, Valguero, Crystal Isles, Genesis: Part 2, Mobile",Terrestrial
Daeodon_Character_BP_C,Daeodon,Daeodon,Daeodon,Daeodon,daeodon,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Deathworm_Character_BP_C,Deathworm,Deathworm,Deathworm,Deathworm,deathworm,"Scorched Earth, Ragnarok, Genesis: Part 1",Fossorial
Deinonychus_Character_BP_C,Deinonychus,Deinonychus,Deinonychus,Deinonychus,deinonychus,Valguero,Terrestrial
Dilo_Character_BP_C,Dilophosaur,Dilophosaur,Dilophosaur,Dilophosaur,dilophosaur,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Genesis: Part 2, Mobile","Subterranean, Terrestrial"
Dimetro_Character_BP_C,Dimetrodon,Dimetrodon,Dimetrodon,Dimetrodon,dimetrodon,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Dimorph_Character_BP_C,Dimorphodon,Dimorphodon,Dimorphodon,Dimorphodon,dimorphodon,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Aerial, Subterranean"
Diplocaulus_Character_BP_C,Diplocaulus,Diplocaulus,Diplocaulus,Diplocaulus,diplocaulus,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Diplodocus_Character_BP_C,Diplodocus,Diplodocus,Diplodocus,Diplodocus,diplodocus,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Crystal Isles, Mobile","Terrestrial, Subterranean"
Direbear_Character_BP_C,Dire Bear,Dire Bear,Dire_Bear,Direbear,direbear,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Direbear_LL_Character_BP_C,Dire Bear,Dire Bear,Dire_Bear,Direbear,direbear,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Direwolf_LL_Character_BP_C,Dire Wolf,Direwolf,Direwolf,Direwolf,direwolf,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Direwolf_Character_BP_C,Dire Wolf,Direwolf,Direwolf,Direwolf,direwolf,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Leech_Character_Diseased_C,Diseased Leech,Diseased Leech,Diseased_Leech,Leech,leech,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Dodo_Character_BP_C,Dodo,Dodo,Dodo,Dodo,dodo,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Doed_Character_BP_C,Doedicurus,Doedicurus,Doedicurus,Doedicurus,doedicurus,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
DungBeetle_Character_BP_C,Dung Beetle,Dung Beetle,Dung_Beetle,Dung Beetle,dungbeetle,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Dunkle_Character_BP_C,Dunkleosteus,Dunkleosteus,Dunkleosteus,Dunkleosteus,dunkleosteus,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aquatic
Eel_Character_BP_C,Electrophorus,Electrophorus,Electrophorus,Electrophorus,electrophorus,"The Island, The Center, Ragnarok, Aberration, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Aquatic, Subterranean"
Equus_Character_BP_C,Equus,Equus,Equus,Equus,equus,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Genesis: Part 2, Mobile","Terrestrial, Subterranean"
Euryp_Character_C,Eurypterid,Eurypterid,Eurypterid,Eurypterid,eurypterid,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aquatic
Wyvern_Character_BP_Fire_C,Fire Wyvern,Fire Wyvern,Fire_Wyvern,Wyvern,wyvern,"Scorched Earth, Ragnarok, Valguero, Genesis: Part 1",Aerial
Galli_Character_BP_C,Gallimimus,Gallimimus,Gallimimus,Gallimimus,gallimimus,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Bee_Queen_Character_BP_C,Giant Queen Bee,Giant Queen Bee,Giant_Queen_Bee,Giant Bee,giantbee,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles","Aerial, Subterranean"
Gigant_Character_BP_C,Giganotosaurus,Giganotosaurus,Giganotosaurus,Giganotosaurus,giganotosaurus,"The Island, The Center, Ragnarok, Extinction, Valguero, Crystal Isles, Mobile",Terrestrial
Gigant_Character_BP_TekCave_C,Giganotosaurus,Giganotosaurus,Giganotosaurus,Giganotosaurus,giganotosaurus,"The Island, The Center, Ragnarok, Extinction, Valguero, Crystal Isles, Mobile",Terrestrial
Bigfoot_Character_BP_C,Gigantopithecus,Gigantopithecus,Gigantopithecus,Gigantopithecus,gigantopithecus,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Hesperornis_Character_BP_C,Hesperornis,Hesperornis,Hesperornis,Hesperornis,hesperornis,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles","Aquatic, Terrestrial"
Hyaenodon_Character_BP_C,Hyaenodon,Hyaenodon,Hyaenodon,Hyaenodon,hyaenodon,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Crystal Isles",Terrestrial
IceGolem_Character_BP_C,Ice Golem,Ice Golem,Ice_Golem,,,"Valguero, Genesis: Part 1",Terrestrial
Ragnarok_Wyvern_Override_Ice_C,Ice Wyvern,Ice Wyvern,Ice_Wyvern,Wyvern,wyvern,"Ragnarok, Valguero",Aerial
Ichthyornis_Character_BP_C,Ichthyornis,Ichthyornis,Ichthyornis,Ichthyornis,ichthyornis,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles",Aerial
Dolphin_Character_BP_C,Ichthyosaurus,Ichthyosaurus,Ichthyosaurus,Ichthyosaurus,ichthyosaurus,"The Island, The Center, Ragnarok, Genesis: Part 1, Crystal Isles, Mobile",Aquatic
Iguanodon_Character_BP_C,Iguanodon,Iguanodon,Iguanodon,Iguanodon,iguanodon,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Jerboa_Character_BP_C,Jerboa,Jerboa,Jerboa,Jerboa,jerboa,"Scorched Earth, Ragnarok, Valguero, Crystal Isles, Mobile",Terrestrial
Kairuku_Character_BP_C,Kairuku,Kairuku,Kairuku,Kairuku,kairuku,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Kaprosuchus_Character_BP_C,Kaprosuchus,Kaprosuchus,Kaprosuchus,Kaprosuchus,kaprosuchus,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Kentro_Character_BP_C,Kentrosaurus,Kentrosaurus,Kentrosaurus,Kentrosaurus,kentrosaurus,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles",Terrestrial
Lamprey_Character_C,Lamprey,Lamprey,Lamprey,Lamprey,lamprey,"Aberration, Valguero, Genesis: Part 1, Crystal Isles","Aquatic, Subterranean"
Leech_Character_C,Leech,Leech,Leech,Leech,leech,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Leedsichthys_Character_BP_C,Leedsichthys,Leedsichthys,Leedsichthys,Leedsichthys,leedsichthys,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aquatic
Moth_Character_BP_C,Lymantria,Lymantria,Lymantria,Lymantria,lymantria,"Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles",Aerial
Lystro_Character_BP_C,Lystrosaurus,Lystrosaurus,Lystrosaurus,Lystrosaurus,lystrosaurus,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Mammoth_Character_BP_C,Mammoth,Mammoth,Mammoth,Mammoth,mammoth,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Manta_Character_BP_C,Manta,Manta,Manta,Manta,manta,"The Island, The Center, Ragnarok, Aberration, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Aquatic, Subterranean"
Mantis_Character_BP_C,Mantis,Mantis,Mantis,Mantis,mantis,"Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles","Subterranean, Terrestrial"
Stag_Character_BP_C,Megaloceros,Megaloceros,Megaloceros,Megaloceros,megaloceros,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Megalodon_Character_BP_C,Megalodon,Megalodon,Megalodon,Megalodon,megalodon,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aquatic
Dragonfly_Character_BP_C,Meganeura,Meganeura,Meganeura,Meganeura,meganeura,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Aerial"
Megatherium_Character_BP_C,Megatherium,Megatherium,Megatherium,Megatherium,megatherium,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Megalosaurus_Character_BP_C,Megalosaurus,Megalosaurus,Megalosaurus,Megalosaurus,megalosaurus,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Genesis: Part 1, Crystal Isles, Mobile",Subterranean
Monkey_Character_BP_C,Mesopithecus,Mesopithecus,Mesopithecus,Mesopithecus,mesopithecus,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Microraptor_Character_BP_C,Microraptor,Microraptor,Microraptor,Microraptor,microraptor,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles",Terrestrial
camelsaurus_Character_BP_C,Morellatops,Morellatops,Morellatops,Morellatops,morellatops,"Scorched Earth, Ragnarok, Extinction, Crystal Isles",Terrestrial
Mosa_Character_BP_C,Mosasaurus,Mosasaurus,Mosasaurus,Mosasaurus,mosasaurus,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aquatic
Moschops_Character_BP_C,Moschops,Moschops,Moschops,Moschops,moschops,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Bat_Character_BP_C,Onyc,Onyc,Onyc,Onyc,onyc,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Aerial"
Otter_Character_BP_C,Otter,Otter,Otter,Otter,otter,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Aquatic, Subterranean"
Oviraptor_Character_BP_C,Oviraptor,Oviraptor,Oviraptor,Oviraptor,oviraptor,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Sheep_Character_BP_C,Ovis,Ovis,Ovis,Ovis,ovis,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles","Terrestrial, Subterranean"
Jugbug_Oil_Character_BP_C,Oil Jugbug,Oil Jug Bug,Oil_Jug_Bug,Jug Bug,jugbug,"Scorched Earth, Ragnarok, Extinction, Genesis: Part 1, Crystal Isles",Aerial
Pachy_Character_BP_C,Pachy,Pachy,Pachy,Pachy,pachy,"The Island, The Center, Ragnarok, Extinction, Valguero, Crystal Isles, Mobile",Terrestrial
Pachyrhino_Character_BP_C,Pachyrhinosaurus,Pachyrhinosaurus,Pachyrhinosaurus,Pachyrhinosaurus,pachyrhinosaurus,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Paracer_Character_BP_C,Paraceratherium,Paraceratherium,Paraceratherium,Paraceratherium,paracer,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Para_Character_BP_C,Parasaur,Parasaur,Parasaur,Parasaur,parasaur,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Pegomastax_Character_BP_C,Pegomastax,Pegomastax,Pegomastax,Pegomastax,pegomastax,"The Island, The Center, Scorched Earth, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Pela_Character_BP_C,Pelagornis,Pelagornis,Pelagornis,Pelagornis,pelagornis,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Genesis: Part 2, Mobile",Terrestrial
Phiomia_Character_BP_C,Phiomia,Phiomia,Phiomia,Phiomia,phiomia,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Phoenix_Character_BP_C,Phoenix,Phoenix,Phoenix,Phoenix,phoenix,"Scorched Earth, Genesis: Part 1",Aerial
Piranha_Character_BP_C,Piranha,Piranha,Piranha,Piranha,piranha,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Aquatic, Subterranean"
Plesiosaur_Character_BP_C,Plesiosaur,Plesiosaur,Plesiosaur,Plesiosaur,plesiosaur,"The Island, The Center, Ragnarok, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aquatic
Direbear_Character_Polar_C,Polar Bear,Polar Bear,Polar_Bear,Direbear,direbear,"The Island, Extinction, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Polar_Bear_C,Polar Bear,Polar Bear,Polar_Bear,Direbear,direbear,"The Island, Extinction, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Procoptodon_Character_BP_C,Procoptodon,Procoptodon,Procoptodon,Procoptodon,procoptodon,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Ptero_Character_BP_C,Pteranodon,Pteranodon,Pteranodon,Pteranodon,pteranodon,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Genesis: Part 2, Mobile",Aerial
Scorpion_Character_BP_C,Pulmonoscorpius,Pulmonoscorpius,Pulmonoscorpius,Pulmonoscorpius,pulmonoscorpius,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Purlovia_Character_BP_C,Purlovia,Purlovia,Purlovia,Purlovia,purlovia,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Fossorial, Subterranean"
Purlovia_Character_BP_Polar_C,Purlovia (Polar),Purlovia,Purlovia,Purlovia,purlovia,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Fossorial, Subterranean"
Quetz_Character_BP_C,Quetzal,Quetzal,Quetzal,Quetzal,quetzal,"The Island, The Center, Ragnarok, Extinction, Valguero, Crystal Isles, Genesis: Part 2, Mobile",Aerial
Raptor_Character_BP_C,Raptor,Raptor,Raptor,Raptor,raptor,"The Island, The Center, Scorched Earth, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Rex_Character_BP_C,Rex,Rex,Rex,Rex,rex,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Salmon_Character_BP_C,Sabertooth Salmon,Sabertooth Salmon,Sabertooth_Salmon,Sabertooth Salmon,sabertoothsalmon,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Aquatic, Subterranean"
Saber_Character_BP_C,Sabertooth,Sabertooth,Sabertooth,Sabertooth,sabertooth,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Subterranean, Terrestrial"
Sarco_Character_BP_C,Sarco,Sarco,Sarco,Sarco,sarco,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean, Aquatic"
Spino_Character_BP_C,Spinosaur,Spino,Spino,Spinosaurus,spinosaur,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile","Terrestrial, Subterranean"
Stego_Character_BP_C,Stegosaurus,Stegosaurus,Stegosaurus,Stegosaurus,stegosaurus,"The Island, The Center, Ragnarok, Aberration, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Genesis: Part 2, Mobile","Terrestrial, Subterranean"
Tapejara_Character_BP_C,Tapejara,Tapejara,Tapejara,Tapejara,tapejara,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Aerial
TerrorBird_Character_BP_C,Terror Bird,Terror Bird,Terror_Bird,Terror Bird,terrorbird,"The Island, The Center, Scorched Earth, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
Therizino_Character_BP_C,Therizinosaur,Therizinosaur,Therizinosaur,Therizinosaurus,therizinosaurus,"The Island, The Center, Ragnarok, Extinction, Valguero, Genesis: Part 1, Crystal Isles, Mobile",Terrestrial
SpineyLizard_Character_BP_C,Thorny Dragon,Thorny Dragon,Thorny_Dragon,Thorny Dragon,thornydragon,"Scorched Earth, Ragnarok, Extinction, Genesis: Part 1, Crystal Isles",Terrestrial
